Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Jahmyr Gibbs (43727325),Jahmyr Gibbs,43727325,RB/FLEX,8000,NO@DET 09/13/2026 01:00PM ET,DET,22.3,
WR,Ja'Marr Chase (43727631),Ja'Marr Chase,43727631,WR/FLEX,7800,TB@CIN 09/13/2026 01:00PM ET,CIN,21,Q
RB,Bijan Robinson (43727327),Bijan Robinson,43727327,RB/FLEX,7700,ATL@PIT 09/13/2026 01:00PM ET,ATL,23.2,
WR,Amon-Ra St. Brown (43727633),Amon-Ra St. Brown,43727633,WR/FLEX,7500,NO@DET 09/13/2026 01:00PM ET,DET,19.9,
RB,Jonathan Taylor (43727329),Jonathan Taylor,43727329,RB/FLEX,7300,BAL@IND 09/13/2026 01:00PM ET,IND,22.3,
WR,Justin Jefferson (43727635),Justin Jefferson,43727635,WR/FLEX,7300,GB@MIN 09/13/2026 04:25PM ET,MIN,12.4,
RB,James Cook III (43727331),James Cook III,43727331,RB/FLEX,7200,BUF@HOU 09/13/2026 01:00PM ET,BUF,18.8,
RB,Chase Brown (43727333),Chase Brown,43727333,RB/FLEX,7100,TB@CIN 09/13/2026 01:00PM ET,CIN,17.2,
QB,Josh Allen (43727234),Josh Allen,43727234,QB,7000,BUF@HOU 09/13/2026 01:00PM ET,BUF,23.3,
RB,De'Von Achane (43727335),De'Von Achane,43727335,RB/FLEX,7000,MIA@LV 09/13/2026 04:25PM ET,MIA,20.9,
WR,Nico Collins (43727637),Nico Collins,43727637,WR/FLEX,7000,BUF@HOU 09/13/2026 01:00PM ET,HOU,15.1,
QB,Joe Burrow (43727235),Joe Burrow,43727235,QB,6900,TB@CIN 09/13/2026 01:00PM ET,CIN,18.2,
RB,Saquon Barkley (43727337),Saquon Barkley,43727337,RB/FLEX,6900,WAS@PHI 09/13/2026 04:25PM ET,PHI,15.4,
TE,Brock Bowers (43728215),Brock Bowers,43728215,TE/FLEX,6900,MIA@LV 09/13/2026 04:25PM ET,LV,15.2,
QB,Lamar Jackson (43727236),Lamar Jackson,43727236,QB,6800,BAL@IND 09/13/2026 01:00PM ET,BAL,17.3,
RB,Omarion Hampton (43727339),Omarion Hampton,43727339,RB/FLEX,6800,ARI@LAC 09/13/2026 04:25PM ET,LAC,13.9,
TE,Trey McBride (43728217),Trey McBride,43728217,TE/FLEX,6800,ARI@LAC 09/13/2026 04:25PM ET,ARI,19.1,
RB,Derrick Henry (43727341),Derrick Henry,43727341,RB/FLEX,6700,BAL@IND 09/13/2026 01:00PM ET,BAL,18,
WR,Chris Olave (43727639),Chris Olave,43727639,WR/FLEX,6700,NO@DET 09/13/2026 01:00PM ET,NO,17.4,
QB,Jalen Hurts (43727237),Jalen Hurts,43727237,QB,6600,WAS@PHI 09/13/2026 04:25PM ET,PHI,19.1,
RB,Ashton Jeanty (43727343),Ashton Jeanty,43727343,RB/FLEX,6600,MIA@LV 09/13/2026 04:25PM ET,LV,14.8,Q
WR,DeVonta Smith (43727641),DeVonta Smith,43727641,WR/FLEX,6600,WAS@PHI 09/13/2026 04:25PM ET,PHI,12.4,
QB,Jayden Daniels (43727238),Jayden Daniels,43727238,QB,6500,WAS@PHI 09/13/2026 04:25PM ET,WAS,17,
WR,Drake London (43727643),Drake London,43727643,WR/FLEX,6500,ATL@PIT 09/13/2026 01:00PM ET,ATL,18.2,
RB,Jeremiyah Love (43727345),Jeremiyah Love,43727345,RB/FLEX,6400,ARI@LAC 09/13/2026 04:25PM ET,ARI,0,Q
WR,Zay Flowers (43727645),Zay Flowers,43727645,WR/FLEX,6400,BAL@IND 09/13/2026 01:00PM ET,BAL,15,Q
QB,Caleb Williams (43727239),Caleb Williams,43727239,QB,6300,CHI@CAR 09/13/2026 01:00PM ET,CHI,19.8,
RB,Josh Jacobs (43727347),Josh Jacobs,43727347,RB/FLEX,6300,GB@MIN 09/13/2026 04:25PM ET,GB,15.4,OUT
WR,Tee Higgins (43727647),Tee Higgins,43727647,WR/FLEX,6300,TB@CIN 09/13/2026 01:00PM ET,CIN,14.3,Q
RB,Breece Hall (43727349),Breece Hall,43727349,RB/FLEX,6200,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,13.9,Q
WR,Emeka Egbuka (43727649),Emeka Egbuka,43727649,WR/FLEX,6200,TB@CIN 09/13/2026 01:00PM ET,TB,12,Q
QB,Justin Herbert (43727240),Justin Herbert,43727240,QB,6100,ARI@LAC 09/13/2026 04:25PM ET,LAC,19.1,
RB,D'Andre Swift (43727351),D'Andre Swift,43727351,RB/FLEX,6100,CHI@CAR 09/13/2026 01:00PM ET,CHI,14.7,
WR,Tetairoa McMillan (43727651),Tetairoa McMillan,43727651,WR/FLEX,6100,CHI@CAR 09/13/2026 01:00PM ET,CAR,12.9,
QB,Jared Goff (43727241),Jared Goff,43727241,QB,6000,NO@DET 09/13/2026 01:00PM ET,DET,19.3,
RB,David Montgomery (43727353),David Montgomery,43727353,RB/FLEX,6000,BUF@HOU 09/13/2026 01:00PM ET,HOU,10.1,
WR,Jameson Williams (43727653),Jameson Williams,43727653,WR/FLEX,6000,NO@DET 09/13/2026 01:00PM ET,DET,13.6,
QB,Baker Mayfield (43727242),Baker Mayfield,43727242,QB,5900,TB@CIN 09/13/2026 01:00PM ET,TB,17.2,
RB,Travis Etienne Jr. (43727355),Travis Etienne Jr.,43727355,RB/FLEX,5900,NO@DET 09/13/2026 01:00PM ET,NO,15.7,
WR,Christian Watson (43727655),Christian Watson,43727655,WR/FLEX,5900,GB@MIN 09/13/2026 04:25PM ET,GB,13.5,
WR,Ladd McConkey (43727657),Ladd McConkey,43727657,WR/FLEX,5900,ARI@LAC 09/13/2026 04:25PM ET,LAC,11.4,
QB,Trevor Lawrence (43727243),Trevor Lawrence,43727243,QB,5800,CLE@JAX 09/13/2026 01:00PM ET,JAX,21,
RB,Bhayshul Tuten (43727357),Bhayshul Tuten,43727357,RB/FLEX,5800,CLE@JAX 09/13/2026 01:00PM ET,JAX,5.9,
WR,Jordan Addison (43727659),Jordan Addison,43727659,WR/FLEX,5800,GB@MIN 09/13/2026 04:25PM ET,MIN,10.1,
WR,Garrett Wilson (43727661),Garrett Wilson,43727661,WR/FLEX,5800,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,14.2,
QB,Jordan Love (43727244),Jordan Love,43727244,QB,5700,GB@MIN 09/13/2026 04:25PM ET,GB,17.6,
RB,Bucky Irving (43727359),Bucky Irving,43727359,RB/FLEX,5700,TB@CIN 09/13/2026 01:00PM ET,TB,14.3,
WR,Terry McLaurin (43727663),Terry McLaurin,43727663,WR/FLEX,5700,WAS@PHI 09/13/2026 04:25PM ET,WAS,11.4,
WR,Alec Pierce (43727665),Alec Pierce,43727665,WR/FLEX,5700,BAL@IND 09/13/2026 01:00PM ET,IND,12.6,Q
QB,Tyler Shough (43727245),Tyler Shough,43727245,QB,5600,NO@DET 09/13/2026 01:00PM ET,NO,15.6,
RB,Tony Pollard (43727361),Tony Pollard,43727361,RB/FLEX,5600,NYJ@TEN 09/13/2026 01:00PM ET,TEN,11.6,
WR,DJ Moore (43727667),DJ Moore,43727667,WR/FLEX,5600,BUF@HOU 09/13/2026 01:00PM ET,BUF,10.8,
WR,Parker Washington (43727669),Parker Washington,43727669,WR/FLEX,5600,CLE@JAX 09/13/2026 01:00PM ET,JAX,12.8,
QB,Kyler Murray (43727246),Kyler Murray,43727246,QB,5500,GB@MIN 09/13/2026 04:25PM ET,MIN,16.4,
RB,Quinshon Judkins (43727363),Quinshon Judkins,43727363,RB/FLEX,5500,CLE@JAX 09/13/2026 01:00PM ET,CLE,12.3,
RB,Chuba Hubbard (43727365),Chuba Hubbard,43727365,RB/FLEX,5500,CHI@CAR 09/13/2026 01:00PM ET,CAR,9.1,Q
WR,Brian Thomas Jr. (43727671),Brian Thomas Jr.,43727671,WR/FLEX,5500,CLE@JAX 09/13/2026 01:00PM ET,JAX,9.9,
WR,Luther Burden III (43727673),Luther Burden III,43727673,WR/FLEX,5500,CHI@CAR 09/13/2026 01:00PM ET,CHI,8.6,Q
